,user_id_str,type
59,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
60,160932283,Ferry
61,160932283,"['route'] ['locality', 'political']"
62,160932283,Centre
63,62536337,"['route'] ['transit_station', 'point_of_interest', 'establishment'] ['locality', 'political']"
64,14282045,no coordinate
65,30035884,Tunnel
66,37575049,"['locality', 'political'] ['neighborhood', 'political']"
67,30035884,Tunnel
68,55498924,no coordinate
69,160932283,"['route'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment']"
70,53541705,"['locality', 'political'] ['neighborhood', 'political']"
71,53541705,"['route'] ['park', 'point_of_interest', 'establishment'] ['locality', 'political']"
72,7376602,"['route'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment']"
73,55498924,no coordinate
74,55498924,no coordinate
75,55498924,no coordinate
76,53541705,"['route'] ['park', 'point_of_interest', 'establishment'] ['locality', 'political']"
77,14397810,"['route'] ['locality', 'political']"
78,14397810,"['locality', 'political'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['liquor_store', 'store', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
79,30035884,"['locality', 'political'] ['point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment']"
80,14397810,Centre
81,7376602,"['locality', 'political'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['bakery', 'store', 'food', 'point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment']"
82,14397810,"['locality', 'political'] ['neighborhood', 'political']"
83,160932283,Ferry
84,14397810,"['locality', 'political'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
85,14397810,"['locality', 'political'] ['point_of_interest', 'establishment'] ['premise', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
86,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
87,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
88,30035884,Ferry
89,55498924,no coordinate
90,55498924,no coordinate
91,55498924,no coordinate
92,55498924,no coordinate
93,55498924,no coordinate
94,62536337,"['locality', 'political'] ['clothing_store', 'store', 'point_of_interest', 'establishment'] ['electronics_store', 'store', 'point_of_interest', 'establishment'] ['store', 'point_of_interest', 'establishment'] ['clothing_store', 'store', 'point_of_interest', 'establishment']"
95,30035884,Playground
96,53541705,"['locality', 'political'] ['neighborhood', 'political']"
97,16094512,"['locality', 'political'] ['neighborhood', 'political']"
98,55498924,no coordinate
99,14397810,"['locality', 'political'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['store', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment']"
100,14397810,"['locality', 'political'] ['neighborhood', 'political']"
101,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
102,55498924,no coordinate
103,160932283,Ferry
104,160932283,"['route'] ['locality', 'political']"
105,160932283,Centre
106,53541705,"['route'] ['point_of_interest', 'establishment'] ['locality', 'political']"
107,30035884,Tunnel
108,30035884,Tunnel
109,55498924,no coordinate
110,55498924,no coordinate
111,55498924,no coordinate
112,160932283,"['route'] ['general_contractor', 'point_of_interest', 'establishment'] ['locality', 'political']"
113,160932283,"['route'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment']"
114,7376602,"['route'] ['point_of_interest', 'establishment'] ['locality', 'political']"
115,160932283,Ferry
