,user_id_str,activity
235,96273306,free_time_leisure_activities
236,30035884,basic_necessities
237,30035884,basic_necessities
238,14397810,basic_necessities
239,55498924,basic_necessities
240,55498924,free_time_leisure_activities
241,53541705,basic_necessities
242,55498924,free_time_leisure_activities
243,14282045,basic_necessities
244,53893147,basic_necessities
245,30035884,travel
246,30035884,basic_necessities
247,30035884,basic_necessities
248,30035884,basic_necessities
249,30035884,basic_necessities
250,55498924,basic_necessities
251,30035884,basic_necessities
252,160932283,basic_necessities
253,160932283,basic_necessities
254,37575049,basic_necessities
255,30035884,travel
256,16094512,basic_necessities
257,16094512,basic_necessities
258,16094512,basic_necessities
259,53541705,basic_necessities
260,53541705,basic_necessities
261,160932283,basic_necessities
262,55498924,free_time_leisure_activities
263,30035884,free_time_leisure_activities
264,16094512,basic_necessities
265,148017981,free_time_leisure_activities
266,1651882188,basic_necessities
267,53541705,basic_necessities
268,53541705,free_time_leisure_activities
269,1651882188,basic_necessities
270,148017981,free_time_leisure_activities
271,30035884,travel
272,55498924,basic_necessities
273,30035884,unpaid_activities
274,30035884,basic_necessities
275,14397810,basic_necessities
276,14397810,basic_necessities
277,53541705,basic_necessities
278,14282045,free_time_leisure_activities
279,1651882188,basic_necessities
280,883377606,basic_necessities
281,160932283,basic_necessities
282,160932283,basic_necessities
283,37575049,basic_necessities
284,30035884,travel
285,16094512,free_time_leisure_activities
286,30035884,travel
287,1651882188,basic_necessities
288,53541705,basic_necessities
289,30035884,travel
290,7376602,free_time_leisure_activities
291,160932283,basic_necessities
292,14397810,free_time_leisure_activities
293,160932283,basic_necessities
294,53541705,free_time_leisure_activities
295,16094512,basic_necessities
296,55498924,free_time_leisure_activities
297,160932283,basic_necessities
298,148017981,free_time_leisure_activities
299,148017981,free_time_leisure_activities
300,30035884,basic_necessities
301,53893147,basic_necessities
302,30035884,travel
303,53541705,basic_necessities
304,53541705,basic_necessities
305,53541705,basic_necessities
306,191738379,free_time_leisure_activities
307,191738379,free_time_leisure_activities
308,191738379,free_time_leisure_activities
309,191738379,free_time_leisure_activities
310,53893147,basic_necessities
311,53893147,basic_necessities
312,53893147,basic_necessities
313,53893147,basic_necessities
314,53893147,free_time_leisure_activities
315,30035884,free_time_leisure_activities
316,191738379,free_time_leisure_activities
317,55498924,basic_necessities
318,53893147,basic_necessities
319,55498924,free_time_leisure_activities
320,55498924,travel
321,1651882188,basic_necessities
322,53541705,basic_necessities
323,191738379,basic_necessities
324,55498924,basic_necessities
325,160932283,travel
326,160932283,basic_necessities
327,37575049,basic_necessities
328,160932283,basic_necessities
329,30035884,travel
330,16094512,basic_necessities
331,160932283,basic_necessities
332,160932283,basic_necessities
333,14397810,basic_necessities
334,62536337,basic_necessities
335,2399387766,basic_necessities
336,14397810,free_time_leisure_activities
337,7376602,basic_necessities
338,53541705,basic_necessities
339,53541705,basic_necessities
340,53893147,basic_necessities
341,62536337,basic_necessities
342,55498924,basic_necessities
343,55498924,basic_necessities
344,55498924,basic_necessities
345,55498924,basic_necessities
346,55498924,basic_necessities
347,62536337,free_time_leisure_activities
348,55498924,basic_necessities
349,62536337,basic_necessities
350,160932283,basic_necessities
351,148017981,free_time_leisure_activities
352,62536337,basic_necessities
353,55498924,basic_necessities
354,55498924,basic_necessities
355,55498924,free_time_leisure_activities
356,55498924,basic_necessities
357,883377606,free_time_leisure_activities
358,55498924,free_time_leisure_activities
359,14397810,free_time_leisure_activities
360,14397810,free_time_leisure_activities
361,53541705,free_time_leisure_activities
362,53541705,basic_necessities
363,14397810,basic_necessities
364,53541705,basic_necessities
365,14397810,basic_necessities
366,55498924,basic_necessities
367,14282045,basic_necessities
368,14282045,basic_necessities
369,160932283,basic_necessities
370,30035884,travel
371,37575049,basic_necessities
372,30035884,basic_necessities
373,30035884,travel
374,53541705,free_time_leisure_activities
375,53893147,free_time_leisure_activities
376,53893147,basic_necessities
377,7376602,free_time_leisure_activities
378,30035884,free_time_leisure_activities
379,160932283,basic_necessities
380,55498924,basic_necessities
381,55498924,basic_necessities
382,55498924,basic_necessities
383,55498924,basic_necessities
384,53541705,basic_necessities
385,53541705,basic_necessities
386,160932283,travel
387,30035884,basic_necessities
388,62536337,basic_necessities
389,62536337,basic_necessities
390,7376602,basic_necessities
391,14397810,basic_necessities
392,30035884,travel
393,55498924,basic_necessities
394,55498924,basic_necessities
395,14282045,basic_necessities
396,53541705,basic_necessities
397,55498924,free_time_leisure_activities
398,55498924,free_time_leisure_activities
399,36204274,basic_necessities
400,14397810,basic_necessities
401,129446245,free_time_leisure_activities
402,14282045,basic_necessities
403,14282045,basic_necessities
404,37575049,basic_necessities
405,2399387766,basic_necessities
406,160932283,travel
407,160932283,basic_necessities
408,55498924,basic_necessities
409,160932283,basic_necessities
410,160932283,basic_necessities
411,30035884,travel
412,30035884,travel
413,53893147,free_time_leisure_activities
414,53893147,free_time_leisure_activities
415,53893147,free_time_leisure_activities
416,53893147,free_time_leisure_activities
417,53893147,free_time_leisure_activities
418,53893147,free_time_leisure_activities
419,53541705,basic_necessities
420,53541705,free_time_leisure_activities
421,30035884,basic_necessities
422,7376602,free_time_leisure_activities
423,160932283,basic_necessities
424,16094512,basic_necessities
425,14397810,basic_necessities
426,53893147,basic_necessities
427,55498924,free_time_leisure_activities
428,55498924,basic_necessities
429,55498924,basic_necessities
430,53541705,free_time_leisure_activities
431,7376602,education_training
432,160932283,basic_necessities
433,30035884,travel
434,55498924,basic_necessities
435,55498924,free_time_leisure_activities
436,30035884,free_time_leisure_activities
437,53541705,basic_necessities
438,53541705,basic_necessities
439,53541705,basic_necessities
440,36204274,basic_necessities
441,53541705,basic_necessities
442,53541705,basic_necessities
443,191738379,basic_necessities
444,14282045,basic_necessities
445,14282045,basic_necessities
446,14282045,basic_necessities
447,30035884,basic_necessities
448,14282045,basic_necessities
449,36204274,basic_necessities
450,36204274,basic_necessities
451,53541705,basic_necessities
452,36204274,basic_necessities
453,55498924,free_time_leisure_activities
454,53893147,basic_necessities
455,16094512,free_time_leisure_activities
456,53541705,basic_necessities
457,53541705,basic_necessities
458,62536337,free_time_leisure_activities
459,53541705,basic_necessities
460,148017981,free_time_leisure_activities
461,191738379,basic_necessities
462,53541705,basic_necessities
463,2399387766,education_training
464,7376602,education_training
465,7376602,free_time_leisure_activities
466,191738379,basic_necessities
467,191738379,basic_necessities
468,55498924,basic_necessities
469,55498924,basic_necessities
470,55498924,basic_necessities
471,16094512,free_time_leisure_activities
472,16094512,free_time_leisure_activities
473,16094512,free_time_leisure_activities
474,55498924,basic_necessities
475,14397810,basic_necessities
476,14397810,basic_necessities
477,2399387766,free_time_leisure_activities
478,191738379,basic_necessities
479,129446245,free_time_leisure_activities
480,55498924,basic_necessities
481,53541705,basic_necessities
482,53541705,basic_necessities
483,53541705,basic_necessities
484,16094512,basic_necessities
485,37575049,basic_necessities
486,16094512,free_time_leisure_activities
487,53541705,basic_necessities
488,191738379,basic_necessities
489,14397810,free_time_leisure_activities
490,62536337,basic_necessities
491,14397810,free_time_leisure_activities
492,1651882188,basic_necessities
493,14397810,basic_necessities
494,30035884,free_time_leisure_activities
495,30035884,basic_necessities
496,1651882188,basic_necessities
497,62536337,basic_necessities
498,129446245,unpaid_activities
499,191738379,free_time_leisure_activities
500,14397810,free_time_leisure_activities
501,191738379,free_time_leisure_activities
502,1651882188,basic_necessities
503,191738379,free_time_leisure_activities
504,55498924,basic_necessities
505,55498924,basic_necessities
506,191738379,free_time_leisure_activities
507,30035884,free_time_leisure_activities
508,53541705,basic_necessities
509,2399387766,basic_necessities
510,53541705,basic_necessities
511,53541705,unpaid_activities
512,36204274,basic_necessities
513,53541705,unpaid_activities
514,53893147,basic_necessities
515,53893147,basic_necessities
516,53893147,basic_necessities
517,53893147,basic_necessities
518,37575049,basic_necessities
519,148017981,free_time_leisure_activities
520,160932283,travel
521,160932283,basic_necessities
522,30035884,travel
523,53541705,basic_necessities
524,53541705,basic_necessities
525,14282045,basic_necessities
526,53541705,free_time_leisure_activities
527,883377606,basic_necessities
528,160932283,basic_necessities
529,30035884,free_time_leisure_activities
530,148017981,free_time_leisure_activities
531,30035884,travel
532,7376602,free_time_leisure_activities
533,14397810,free_time_leisure_activities
534,30035884,free_time_leisure_activities
535,191738379,basic_necessities
536,148017981,free_time_leisure_activities
537,148017981,free_time_leisure_activities
538,148017981,free_time_leisure_activities
539,53893147,free_time_leisure_activities
540,30035884,travel
541,30035884,free_time_leisure_activities
542,53541705,basic_necessities
543,62536337,free_time_leisure_activities
544,53541705,basic_necessities
545,53541705,basic_necessities
546,53541705,basic_necessities
547,129446245,free_time_leisure_activities
548,55498924,basic_necessities
549,55498924,basic_necessities
550,55498924,basic_necessities
551,55498924,basic_necessities
552,55498924,basic_necessities
553,55498924,basic_necessities
554,160932283,travel
555,160932283,basic_necessities
556,37575049,basic_necessities
557,160932283,basic_necessities
558,30035884,travel
559,30035884,travel
560,191738379,basic_necessities
561,2399387766,free_time_leisure_activities
562,160932283,basic_necessities
563,160932283,basic_necessities
564,55498924,basic_necessities
565,55498924,basic_necessities
566,55498924,basic_necessities
567,55498924,basic_necessities
568,55498924,basic_necessities
569,30035884,basic_necessities
570,53541705,free_time_leisure_activities
571,148017981,free_time_leisure_activities
572,148017981,free_time_leisure_activities
573,148017981,free_time_leisure_activities
574,160932283,travel
575,30035884,basic_necessities
576,53541705,basic_necessities
577,53541705,basic_necessities
578,14397810,basic_necessities
579,55498924,basic_necessities
580,55498924,basic_necessities
581,30035884,basic_necessities
582,30035884,free_time_leisure_activities
583,14397810,basic_necessities
584,55498924,free_time_leisure_activities
585,53541705,basic_necessities
586,53541705,basic_necessities
587,129446245,free_time_leisure_activities
588,191738379,basic_necessities
589,55498924,free_time_leisure_activities
590,14282045,basic_necessities
591,14397810,basic_necessities
592,55498924,basic_necessities
593,36204274,basic_necessities
594,160932283,travel
595,1651882188,basic_necessities
596,37575049,basic_necessities
597,160932283,basic_necessities
598,14282045,basic_necessities
599,53893147,basic_necessities
600,53893147,basic_necessities
601,2399387766,basic_necessities
602,53893147,basic_necessities
603,2399387766,basic_necessities
604,53893147,free_time_leisure_activities
605,53893147,free_time_leisure_activities
606,53893147,free_time_leisure_activities
607,53893147,free_time_leisure_activities
608,53893147,free_time_leisure_activities
609,53893147,free_time_leisure_activities
610,53893147,free_time_leisure_activities
611,53893147,free_time_leisure_activities
612,53893147,free_time_leisure_activities
613,160932283,basic_necessities
614,160932283,basic_necessities
615,55498924,free_time_leisure_activities
616,129446245,basic_necessities
617,53541705,unpaid_activities
618,53541705,free_time_leisure_activities
619,2399387766,basic_necessities
620,7376602,free_time_leisure_activities
621,160932283,basic_necessities
622,191738379,basic_necessities
623,883377606,basic_necessities
624,53541705,basic_necessities
625,16094512,basic_necessities
626,55498924,basic_necessities
627,191738379,free_time_leisure_activities
628,53541705,basic_necessities
629,55498924,basic_necessities
630,55498924,basic_necessities
631,160932283,travel
632,37575049,basic_necessities
633,160932283,basic_necessities
634,55498924,basic_necessities
635,55498924,basic_necessities
636,2399387766,basic_necessities
637,53893147,free_time_leisure_activities
638,53893147,basic_necessities
639,53893147,basic_necessities
640,53893147,basic_necessities
641,53893147,basic_necessities
642,53893147,basic_necessities
643,53893147,basic_necessities
644,53893147,basic_necessities
645,55498924,basic_necessities
646,160932283,basic_necessities
647,160932283,basic_necessities
648,191738379,free_time_leisure_activities
649,160932283,basic_necessities
650,191738379,basic_necessities
651,55498924,free_time_leisure_activities
652,148017981,free_time_leisure_activities
653,148017981,free_time_leisure_activities
654,160932283,travel
655,7376602,basic_necessities
656,62536337,basic_necessities
657,62536337,free_time_leisure_activities
658,62536337,free_time_leisure_activities
659,14397810,free_time_leisure_activities
660,129446245,basic_necessities
661,55498924,basic_necessities
662,53541705,free_time_leisure_activities
663,55498924,free_time_leisure_activities
664,55498924,free_time_leisure_activities
665,14282045,basic_necessities
666,14282045,basic_necessities
667,14282045,basic_necessities
668,55498924,basic_necessities
669,62536337,basic_necessities
670,160932283,basic_necessities
671,37575049,basic_necessities
672,53541705,basic_necessities
673,53541705,basic_necessities
674,16094512,basic_necessities
675,2399387766,basic_necessities
676,55498924,basic_necessities
677,55498924,basic_necessities
678,62536337,basic_necessities
679,148017981,free_time_leisure_activities
680,55498924,basic_necessities
681,160932283,basic_necessities
682,14397810,basic_necessities
683,191738379,travel
684,7376602,basic_necessities
